Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","CP_EIA-3528-21_Kemet-B_HandSolder",89.476000,-96.250000,-90.000000,top
"C2","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",83.240000,-94.996000,-90.000000,top
"C3","22u","CP_EIA-3528-21_Kemet-B_HandSolder",89.476000,-103.892000,-90.000000,top
"C4","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",92.130000,-95.250000,-90.000000,top
"C5","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",83.240000,-102.758000,-90.000000,top
"C6","22u","CP_EIA-3528-21_Kemet-B_HandSolder",72.644000,-96.127500,-90.000000,top
"C7","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",92.130000,-102.892000,-90.000000,top
"C8","22u","CP_EIA-3528-21_Kemet-B_HandSolder",72.750000,-104.000000,-90.000000,top
"C12","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",72.774000,-92.202000,180.000000,top
"C13","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",72.644000,-100.000000,180.000000,top
"C14","22u","CP_EIA-3528-21_Kemet-B_HandSolder",59.944000,-98.552000,-90.000000,top
"D1","LED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",114.173000,-103.260646,-90.000000,top
"D2","LED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",103.342400,-103.260646,-90.000000,top
"D3","LED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",109.347000,-103.313500,-90.000000,top
"D4","LED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",96.750000,-96.750000,0.000000,top
"D5","LED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",96.750000,-104.250000,0.000000,top
"J2","SFP+","Connector_SFP_and_Cage",103.075000,-81.750000,0.000000,top
"L1","4.7u","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",85.750000,-94.488000,0.000000,top
"L2","4.7u","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",85.780000,-102.250000,0.000000,top
"Q1","BC847","SOT-23",114.223000,-96.360646,-90.000000,top
"Q2","BC847","SOT-23",103.392400,-96.260646,-90.000000,top
"Q3","BC847","SOT-23",109.347000,-96.455500,-90.000000,top
"R1","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",108.566555,-76.442957,0.000000,top
"R2","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",108.566555,-78.432957,0.000000,top
"R3","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",108.566555,-80.422957,0.000000,top
"R4","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",108.566555,-82.412957,0.000000,top
"R5","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",108.566555,-84.402957,0.000000,top
"R6","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",108.566555,-86.392957,0.000000,top
"R7","3.3k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",114.173000,-100.260646,90.000000,top
"R8","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",115.173000,-92.660646,-90.000000,top
"R9","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",104.342400,-92.660646,-90.000000,top
"R10","3.3k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",103.342400,-100.260646,90.000000,top
"R11","0.1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",78.668000,-94.488000,0.000000,top
"R12","0.5","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",85.780000,-97.790000,180.000000,top
"R13","0.5","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",85.780000,-105.552000,180.000000,top
"R14","0.1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",78.668000,-102.250000,0.000000,top
"R15","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",110.236000,-92.645500,-90.000000,top
"R16","3.3k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",109.347000,-100.392500,90.000000,top
"R17","0.1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.702000,-94.742000,0.000000,top
"R18","0.1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.702000,-102.250000,0.000000,top
"R19","3.3k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",94.250000,-96.750000,180.000000,top
"R20","3.3k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",94.250000,-104.250000,180.000000,top
"R21","0","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",67.500000,-65.500000,-90.000000,top
"R22","0","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",70.000000,-65.500000,90.000000,top
"SW1","EDS03SGNNTR04Q","SW_2319847_TEC",115.250000,-80.500000,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",66.524000,-94.488000,180.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",66.548000,-102.300000,180.000000,top
