"Reference","JLCPCB Part #","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"U1,U2","C6186","2","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"Q1,Q2,Q3","C8664","3","BC847","","","","Package_TO_SOT_SMD:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657"
"R21,R22","C17168","2","0","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R7,R10,R16,R19,R20","C25936","5","3.3k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R1,R2,R3,R4,R5,R6,R8,R9,R15","C60490","9","10k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"C1,C3,C6,C8,C14","C110051","5","22u","","","","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B_HandSolder","~"
"L1,L2","C285965","2","4.7u","","","","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","~"
"R12,R13","C423160","2","0.5","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"C12,C13","C519560","2","1u","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"C2,C4,C5,C7","C913742","4","0.1u","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"R11,R14,R17,R18","C2074770","4","0.1","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"D1,D2,D3,D4,D5","C5123485","5","LED","","","","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~"
"SW1","C5727991","1","EDS03SGNNTR04Q","","","","Raspberry_Pi_SFP_Programmer:SW_2319847_TEC","EDS03SGNNTR04Q"
"J2","C42931381","1","SFP+","","","","Connector:Connector_SFP_and_Cage","https://members.snia.org/document/dl/25892"
